Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
95530,EST,372,Mobile Revolution,,LEC,90,3,TUTH,3:30 PM,4:50 PM,B105,Sira Maliphol
95422,EST,391,Technology Assessment,STAS,LEC,90,3,MW,10:30 AM,11:50 AM,B205,Mark Whitaker
95438,EST,392,Engineering Economics,SBS,LEC,90,3,TUTH,5:00 PM,6:20 PM,B105,Jin-sang Lee
95423,EST,393,Project Management,,LEC,90,3,MW,5:00 PM,6:20 PM,B203,Jang Lee
95424,EST,440,Interdis Rsch Methods,,LEC,90,3,TUTH,10:30 AM,11:50 AM,A312,Sira Maliphol
95447,EST,441,Interdis Senior Project,,LEC,90,3,TUTH,10:30 AM,11:50 AM,B313,Neal Dreamson
95682,EST,475,Undergrad Teaching Practicum,EXP+,TUT,T104,3,APPT,1:00 AM,1:00 AM,,Neal Dreamson
95655,EST,488,Internship in Tech & Society,EXP+,TUT,T103,1 to 3,APPT,1:00 AM,1:00 AM,,Jin-sang Lee
95684,EST,488,Internship in Tech & Society,EXP+,TUT,T104,1 to 3,APPT,1:00 AM,1:00 AM,,Neal Dreamson
95603,EST,488,Internship in Tech & Society,EXP+,TUT,T93,1 to 3,APPT,1:00 AM,1:00 AM,,Anthony Pennings
95653,EST,488,Internship in Tech & Society,EXP+,TUT,T96,1 to 3,APPT,1:00 AM,1:00 AM,,Mark Whitaker
95654,EST,488,Internship in Tech & Society,EXP+,TUT,T98,1 to 3,APPT,1:00 AM,1:00 AM,,Jang Lee
96684,EST,499,Research in Tech & Society,EXP+,TUT,T92,0 to 3,APPT,1:00 AM,1:00 AM,,Sangchan Park
95533,EST,499,Research in Tech & Society,EXP+,TUT,T101,0 to 3,APPT,1:00 AM,1:00 AM,,Joseph Cabuay
95534,EST,499,Research in Tech & Society,EXP+,TUT,T103,0 to 3,APPT,1:00 AM,1:00 AM,,Jin-sang Lee
95651,EST,499,Research in Tech & Society,EXP+,TUT,T104,0 to 3,APPT,1:00 AM,1:00 AM,,Neal Dreamson
95513,EST,499,Research in Tech & Society,EXP+,TUT,T91,0 to 3,APPT,1:00 AM,1:00 AM,,James Larson
95514,EST,499,Research in Tech & Society,EXP+,TUT,T93,0 to 3,APPT,1:00 AM,1:00 AM,,Anthony Pennings
95515,EST,499,Research in Tech & Society,EXP+,TUT,T95,0 to 3,APPT,1:00 AM,1:00 AM,,Suzana Brown
95516,EST,499,Research in Tech & Society,EXP+,TUT,T96,0 to 3,APPT,1:00 AM,1:00 AM,,Mark Whitaker
95531,EST,499,Research in Tech & Society,EXP+,TUT,T97,0 to 3,APPT,1:00 AM,1:00 AM,,Johng-Ihl Lee
95532,EST,499,Research in Tech & Society,EXP+,TUT,T98,0 to 3,APPT,1:00 AM,1:00 AM,,Jang Lee
95547,EST,558,Digital tech in disaster risk,,SEM,S90,3,SAT,9:00 AM,11:50 AM,B204,James Larson
95415,EST,581,Heurist &Quant Decision Making,,LEC,90,3,M,7:00 PM,9:50 PM,B207,Suzana Brown
96320,EST,583,National Energy Decision,,LEC,90,3,F,4:00 PM,6:50 PM,B204,Sung Jin Kim
95647,EST,697,Directed Study,,SUP,V102,1 to 9,HTBA,1:00 AM,1:00 AM,,TBA
95559,EST,697,Directed Study,,SUP,V103,1 to 9,HTBA,1:00 AM,1:00 AM,,Jin-sang Lee
95440,EST,697,Directed Study,,SUP,V91,1 to 9,HTBA,1:00 AM,1:00 AM,,James Larson
95607,EST,697,Directed Study,,SUP,V92,1 to 9,HTBA,1:00 AM,1:00 AM,,TBA
95608,EST,697,Directed Study,,SUP,V95,1 to 9,HTBA,1:00 AM,1:00 AM,,Suzana Brown
95558,EST,697,Directed Study,,SUP,V96,1 to 9,HTBA,1:00 AM,1:00 AM,,Mark Whitaker
95648,EST,699,Dissertation Research on Campu,,SUP,V103,1 to 9,HTBA,1:00 AM,1:00 AM,,Jin-sang Lee
95560,EST,699,Dissertation Research on Campu,,SUP,V91,1 to 9,HTBA,1:00 AM,1:00 AM,,James Larson
95685,EST,699,Dissertation Research on Campu,,SUP,V93,1 to 9,HTBA,1:00 AM,1:00 AM,,Anthony Pennings
96322,EMP,501,Behav & Organz Aspects of Mgmt,,LEC,90,3,TH,7:00 PM,8:20 PM,B204,Joseph Cabuay
96427,EMP,501,Behav & Organz Aspects of Mgmt,,SEM,S90,TH,8:30 PM,9:50 PM,B204,Joseph Cabuay,
95624,EMP,517,Quality and Value Management,,LEC,90,3,F,7:00 PM,9:50 PM,B204,Young-Geun Lee
Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
95425,MEC,101,Freshman Design Innovation,,LEC,90,3,TUTH,12:30 PM,1:50 PM,B105,Cornelius Bradter
95426,MEC,203,Eng Graphics and CAD,,LEC,90,3,TH,2:00 PM,4:50 PM,A115,Jong Park
95578,MEC,226,Modern Machining Practices,,LAB,L90,1,TH,5:00 PM,6:20 PM,B1093,Jong Eun Park
95496,MEC,301,Thermodynamics,,LEC,90,3,TUTH,3:30 PM,4:50 PM,A117,JONGSEONG CHOI
95497,MEC,310,Introduction to Machine Design,,LEC,90,3,TUTH,10:30 AM,11:50 AM,B205,Changwoon Han
95498,MEC,316,Instrumentation and Solids Lab,TECH,LAB,L90,2,W,9:00 AM,11:50 AM,A114,Changwoon Han
95499,MEC,320,Num Methods Eng Des Anal,,LEC,90,3,MW,2:00 PM,3:20 PM,A114,JONGSEONG CHOI
95612,MEC,325,Manufacturing Processes,,LEC,90,3,MW,3:30 PM,4:50 PM,A114,Min Yang Yang
95504,MEC,364,Intro to Fluid Mechanics,,LEC,90,3,TUTH,2:00 PM,3:20 PM,B205,Hamid Hefazi
95505,MEC,364,Intro to Fluid Mechanics,,REC,R90,RECW,5:00 PM,5:55 PM,B206,Hamid Hefazi,
95579,MEC,402,Mechanical Vibrations,,LEC,90,3,MW,2:00 PM,3:20 PM,B205,Seung Bok Choi
95526,MEC,422,Thermal System Design,,LEC,90,3,MW,5:00 PM,6:20 PM,B204,Gun Woong Bahng
96454,MEC,441,Mechanical Engnrng Design II,,LEC,91,3,TUTH,2:00 PM,3:20 PM,B314,Yugene Pak
95689,MEC,488,Mechanical Engnrng Internship,EXP+,TUT,T90,3 to 9,APPT,1:00 AM,1:00 AM,,Hamid Hefazi
95486,MEC,499,Research in Mechanical Engnrng,,TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,,Hamid Hefazi
95487,MEC,499,Research in Mechanical Engnrng,,TUT,T91,0 to 3,APPT,1:00 AM,1:00 AM,,Yugene Pak
95488,MEC,499,Research in Mechanical Engnrng,,TUT,T92,0 to 3,APPT,1:00 AM,1:00 AM,,Gun Woong Bahng
95489,MEC,499,Research in Mechanical Engnrng,,TUT,T93,0 to 3,APPT,1:00 AM,1:00 AM,,Bruce Jo
95490,MEC,499,Research in Mechanical Engnrng,,TUT,T94,0 to 3,APPT,1:00 AM,1:00 AM,,Changwoon Han
95580,MEC,499,Research in Mechanical Engnrng,,TUT,T95,0 to 3,APPT,1:00 AM,1:00 AM,,Min Yang Yang
95636,MEC,499,Research in Mechanical Engnrng,,TUT,T97,0 to 3,APPT,1:00 AM,1:00 AM,,JONGSEONG CHOI
95679,MEC,499,Research in Mechanical Engnrng,,TUT,T98,0 to 3,APPT,1:00 AM,1:00 AM,,Woong Moo Lee
95623,MEC,501,Conv Heat Transfer and Exchang,,LEC,90,3,F,12:30 PM,3:20 PM,B204,Joon Sik Lee
96397,MEC,507,Mathematical Methods I,,LEC,90,3,TUTH,12:30 PM,1:50 PM,B205,Young-seon Lee
96315,MEC,536,Mechanics of Solids,,LEC,90,3,MW,10:30 AM,11:50 AM,B618,Yugene Pak
95454,MEC,599,Research,,TUT,T90,1 to 12,APPT,1:00 AM,1:00 AM,,Hamid Hefazi
95455,MEC,599,Research,,TUT,T91,1 to 12,APPT,1:00 AM,1:00 AM,,Yugene Pak
95456,MEC,599,Research,,TUT,T92,1 to 12,APPT,1:00 AM,1:00 AM,,Gun Woong Bahng
95457,MEC,599,Research,,TUT,T93,1 to 12,APPT,1:00 AM,1:00 AM,,Bruce Jo
95458,MEC,599,Research,,TUT,T94,1 to 12,APPT,1:00 AM,1:00 AM,,Changwoon Han
95581,MEC,599,Research,,TUT,T95,1 to 12,APPT,1:00 AM,1:00 AM,,Min Yang Yang
95582,MEC,599,Research,,TUT,T96,1 to 12,APPT,1:00 AM,1:00 AM,,JONGSEONG CHOI
95524,MEC,691,Mechanical Engineering Seminar,,SEM,S90,,HTBA,1:00 AM,1:00 AM,,Changwoon Han
95635,MEC,698,Practicum in Teaching II,,TUT,T90,1 to 3,APPT,1:00 AM,1:00 AM,,Hamid Hefazi
95459,MEC,699,Dissertation Resrch on Campus,,TUT,T90,1 to 9,APPT,1:00 AM,1:00 AM,,Hamid Hefazi
95460,MEC,699,Dissertation Resrch on Campus,,TUT,T91,1 to 9,APPT,1:00 AM,1:00 AM,,Yugene Pak
95461,MEC,699,Dissertation Resrch on Campus,,TUT,T92,1 to 9,APPT,1:00 AM,1:00 AM,,Gun Woong Bahng
95462,MEC,699,Dissertation Resrch on Campus,,TUT,T93,1 to 9,APPT,1:00 AM,1:00 AM,,Bruce Jo
95463,MEC,699,Dissertation Resrch on Campus,,TUT,T94,1 to 9,APPT,1:00 AM,1:00 AM,,Changwoon Han
95583,MEC,699,Dissertation Resrch on Campus,,TUT,T95,1 to 9,APPT,1:00 AM,1:00 AM,,Min Yang Yang
95584,MEC,699,Dissertation Resrch on Campus,,TUT,T96,1 to 9,APPT,1:00 AM,1:00 AM,,JONGSEONG CHOI
Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
95668,ARS,205,Foundations: Idea and Form,ARTS,LAB,L90,3,MF,9:00 AM,11:50 AM,A114,Rachel Stuckey
95670,ARS,225,Introduction to Digital Art,ARTS; TECH,LEC,90,3,W,9:00 AM,11:50 AM,A115,Rachel Stuckey
95669,ARS,225,Introduction to Digital Art,ARTS; TECH,LAB,L90,F,12:30 PM,3:20 PM,A115,Rachel Stuckey,
95544,ATM,102,Weather and Climate,SNW,LEC,90,3,F,12:30 PM,3:20 PM,C103,Seon Ki Park
95448,BIO,201,Organisms to Ecosystems,SNW,LEC,90,3,TUTH,9:00 AM,10:20 AM,C105,Claire Louise Dell
96398,CAR,151,Career & Life Design I,,,,2,TH,3:30 PM,5:20 PM,A114,Sunghyun Lee
96339,CAR,251,Career & Life Design II,,SEM,S90,2,F,10:00 AM,11:50 AM,B105,Sunghyun Lee
95542,CHI,111,Elementary Chinese I,Partially fulfills: LANG,LEC,90,4,MW,5:00 PM,6:20 PM,A724,Mengyang Jia
95541,CHI,111,Elementary Chinese I,Partially fulfills: LANG,REC,R90,RECM,6:30 PM,7:25 PM,A724,Mengyang Jia,
95566,CHI,111,Elementary Chinese I,Partially fulfills: LANG,LEC,91,4,TUTH,2:00 PM,3:20 PM,A724,Mengyang Jia
95567,CHI,111,Elementary Chinese I,Partially fulfills: LANG,REC,R91,RETU,3:30 PM,4:25 PM,A724,Mengyang Jia,
95600,CHI,111,Elementary Chinese I,Partially fulfills: LANG,LEC,92,4,TUTH,10:30 AM,11:50 AM,A724,Mengyang Jia
95599,CHI,111,Elementary Chinese I,Partially fulfills: LANG,REC,R92,RETH,9:30 AM,10:25 AM,A724,Mengyang Jia,
95688,CHI,111,Elementary Chinese I,Partially fulfills: LANG,LEC,93,4,MW,2:00 PM,3:20 PM,A724,Mengyang Jia
95687,CHI,111,Elementary Chinese I,Partially fulfills: LANG,REC,R93,RECW,3:30 PM,4:25 PM,A724,Mengyang Jia,
95568,CHI,112,Elementary Chinese II,LANG,LEC,90,4,MW,9:00 AM,10:20 AM,A704,Mengyang Jia
95569,CHI,112,Elementary Chinese II,LANG,REC,R90,RECM,10:30 AM,11:25 AM,A724,Mengyang Jia,
95482,ECO,108,Introduction to Economics,SBS,LEC,90,4,TUTH,3:30 PM,4:50 PM,B207,Jong Seok Kim
95483,ECO,108,Introduction to Economics,SBS,REC,R90,RETU,2:00 PM,2:55 PM,B207,Jong Seok Kim,
95634,ECO,108,Introduction to Economics,SBS,LEC,91,4,TUTH,10:30 AM,11:50 AM,B207,Jong Seok Kim
95633,ECO,108,Introduction to Economics,SBS,REC,R91,RETH,2:00 PM,2:55 PM,B207,Jong Seok Kim,
95536,ESG,281,Engnrng Intro to Solid State,,LEC,90,3,TUTH,9:00 AM,10:20 AM,B314,Woong Moo Lee
95535,ESG,281,Engnrng Intro to Solid State,,REC,R90,RETU,10:30 AM,11:25 AM,B314,Woong Moo Lee,
95538,ESG,332,Materials Sci I: Struct & Prop,,LEC,90,3,TUTH,10:30 AM,11:50 AM,A704,Oh Yang Kwon
95537,ESG,332,Materials Sci I: Struct & Prop,,REC,R90,RETU,9:30 AM,10:25 AM,A704,Oh Yang Kwon,
95681,FLM,102,Intro to Film/TV Composition,HUM,LEC,91,3,F,2:00 PM,4:50 PM,C105,Sun Park
96400,FLM,102,Intro to Film/TV Composition,HUM,LEC,92,3,F,9:30 AM,12:20 PM,C105,Sun Park
95640,GEO,102,The Earth,SNW,LEC,90,3,F,9:30 AM,12:20 PM,C103,Young Jae Lee
96318,HIS,101,Ancient Mesopotamia to Early Modern Europe,GLO; SBS,LEC,90,3,MW,9:00 AM,9:55 AM,C107,Donald Bellomy
96319,HIS,101,Ancient Mesopotamia to Early Modern Europe,GLO; SBS,REC,R90,RECW,10:00 AM,10:55 AM,C107,Donald Bellomy,
95593,HIS,103,American History to 1877,DIV; SBS; USA,LEC,90,3,TUTH,3:30 PM,4:25 PM,C103,Donald Bellomy
95592,HIS,103,American History to 1877,DIV; SBS; USA,REC,R90,TH,12:30 PM,1:25 PM,C103,Donald Bellomy,
95663,KOR,111,Elementary Korean I,Partially fulfills: LANG,LEC,90,4,TUTH,9:00 AM,10:20 AM,A114,Hea Hur
95662,KOR,111,Elementary Korean I,Partially fulfills: LANG,REC,R90,RETU,10:30 AM,11:25 AM,A114,Hea Hur,
95493,KOR,220,Intermediate Heritage Korean,GLO; HUM; LANG,LEC,90,3,M,9:00 AM,11:50 AM,C105,Koksuk Seo
95680,KOR,220,Intermediate Heritage Korean,GLO; HUM; LANG,LEC,91,3,M,12:00 PM,2:50 PM,C105,Koksuk Seo
95521,MAP,103,Proficiency Algebra,,LEC,90,3,MW,10:30 AM,11:50 AM,B204,Sang Hee Park
95523,MAT,122,Overview of Calculus with Appl,QPS,LEC,90,3,MW,10:30 AM,11:50 AM,B103,Jaeyeong Lee
95522,MAT,122,Overview of Calculus with Appl,QPS,REC,R90,RECM,12:30 PM,1:25 PM,B103,Jaeyeong Lee,
95491,MAT,123,Precalculus,QPS,LEC,90,3,MW,5:00 PM,6:20 PM,C107,Young-seon Lee
95492,MAT,123,Precalculus,QPS,REC,R90,RECM,12:30 PM,1:25 PM,C107,Young-seon Lee,
95589,MAT,200,"Logic, Language and Proof",STEM+,LEC,90,3,MW,2:00 PM,3:20 PM,B105,Suil O
95545,MUS,105,Music Cultures of the World,ARTS,LEC,90,3,TU,9:30 AM,12:30 PM,C103,Soojin Kim
95449,OAE,581,Oral Acad. English (Int.),,LEC,90,3,F,9:00 AM,11:50 AM,A117,Hyun-ju Kim
95450,OAE,585,Oral Acad. English (Advanced),,LEC,90,3,F,9:00 AM,11:50 AM,A117,Hyun-ju Kim
95484,PHY,131,Classical Physics I,SNW,LEC,90,3,TUTH,10:30 AM,11:50 AM,A211,Mackenzie Lenz
95485,PHY,131,Classical Physics I,SNW,REC,R90,3,RECW,9:30 AM,10:25 AM,A211,Mackenzie Lenz
95480,PHY,132,Classical Physics II,SNW,LEC,90,3,TUTH,9:00 AM,10:20 AM,A211,Mackenzie Lenz
95481,PHY,132,Classical Physics II,SNW,REC,R90,3,RECW,10:30 AM,11:25 AM,A114,Mackenzie Lenz
95478,PHY,133,Classical Physics Laboratory I,,LAB,L90,1,F,9:00 AM,11:20 AM,C303,Mackenzie Lenz
95479,PHY,133,Classical Physics Laboratory I,,LAB,L91,1,F,11:30 AM,1:50 PM,C303,Mackenzie Lenz
95477,PHY,134,Classical Physics Lab II,,LAB,L91,1,W,2:00 PM,4:20 PM,C303,Mackenzie Lenz
95528,POL,101,World Politics,GLO; SBS,LEC,90,3,W,9:00 AM,11:50 AM,C105,Won Geun Choi
95476,POL,102,Intro to American Government,SBS; USA,LEC,90,3,MW,2:00 PM,3:20 PM,C103,Jung-Min Hong
95595,SOC,247,Sociology of Gender,DIV; SBS,LEC,90,3,F,3:00 PM,5:50 PM,C107,Juhyun Woo
95585,SUS,206,Economics and Sustainability,SBS+,LEC,90,3,TUTH,12:30 PM,1:25 PM,A211,Young June Kwon
95586,SUS,206,Economics and Sustainability,SBS+,REC,R90,RETH,2:00 PM,2:55 PM,A211,Young June Kwon,
95474,WAE,192,High Intermediate Writing,,LEC,90,3,MW,10:30 AM,11:50 AM,B104,Hyun-ju Kim
95475,WAE,192,High Intermediate Writing,,LEC,91,3,MW,2:00 PM,3:20 PM,B104,Hyun-ju Kim
95613,WAE,192,High Intermediate Writing,,LEC,92,3,MW,3:30 PM,4:50 PM,B104,Hyun-ju Kim
95471,WAE,194,Advanced Writing Academic Eng,,LEC,90,3,MW,9:00 AM,10:20 AM,A116,Christopher Houghton
95472,WAE,194,Advanced Writing Academic Eng,,LEC,91,3,MW,10:30 AM,11:50 AM,B206,Andrew Lasher
95473,WAE,194,Advanced Writing Academic Eng,,LEC,92,3,MW,2:00 PM,3:20 PM,A116,Christopher Houghton
95512,WAE,194,Advanced Writing Academic Eng,,LEC,93,3,MW,3:30 PM,4:50 PM,A117,Lindsay Dennison
95604,WAE,194,Advanced Writing Academic Eng,,LEC,94,3,MW,10:30 AM,11:50 AM,A117,Lindsay Dennison
95614,WAE,194,Advanced Writing Academic Eng,,LEC,95,3,MW,9:00 AM,10:20 AM,A117,Lindsay Dennison
95468,WRT,101,Introductory Writing Workshop,Partially fulfills: WRT,LEC,90,3,MW,10:30 AM,11:50 AM,A116,Jessamine Price
95469,WRT,101,Introductory Writing Workshop,Partially fulfills: WRT,LEC,91,3,TUTH,9:00 AM,10:20 AM,A117,Terrence Oliga
95470,WRT,101,Introductory Writing Workshop,Partially fulfills: WRT,LEC,92,3,TUTH,10:30 AM,11:50 AM,A117,Terrence Oliga
95525,WRT,101,Introductory Writing Workshop,Partially fulfills: WRT,LEC,93,3,TUTH,2:00 PM,3:20 PM,A117,Terrence Oliga
95617,WRT,101,Introductory Writing Workshop,Partially fulfills: WRT,LEC,94,3,TUTH,2:00 PM,3:20 PM,A116,Jessamine Price
95561,WRT,101,Introductory Writing Workshop,Partially fulfills: WRT,LEC,95,3,TUTH,3:30 PM,4:50 PM,A116,Jessamine Price
95464,WRT,102,Intermediate Writing Workshop,WRT,LEC,90,3,TUTH,9:00 AM,10:20 AM,B104,Timothy Fletcher
95465,WRT,102,Intermediate Writing Workshop,WRT,LEC,91,3,TUTH,10:30 AM,11:50 AM,B206,Andrew Schenck
95466,WRT,102,Intermediate Writing Workshop,WRT,LEC,92,3,TUTH,10:30 AM,11:50 AM,B104,Timothy Fletcher
95548,WRT,102,Intermediate Writing Workshop,WRT,LEC,93,3,TUTH,2:00 PM,3:20 PM,B206,Andrew Schenck
95590,WRT,102,Intermediate Writing Workshop,WRT,LEC,94,3,TUTH,2:00 PM,3:20 PM,B104,Timothy Fletcher
95596,WST,247,Sociology of Gender,DIV; SBS,LEC,90,3,F,3:00 PM,5:50 PM,C107,Juhyun Woo
